type,subtype,ammunition,name,device,location,filepath,numshots
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_061A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_iPhone\IP_141A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_iPhone\IP_181C_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_001A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_201B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_001A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_iPhone\IP_141A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_061A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_181B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_iPhone\IP_181C_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_201B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_001A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_201B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_iPhone\IP_181C_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_iPhone\IP_141A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_061A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_181B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_181B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_061A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_iPhone\IP_141A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_001A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_001A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_201B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_iPhone\IP_181C_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_iPhone\IP_141A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_061A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_181B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_181B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_061A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_iPhone\IP_141A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_iPhone\IP_181C_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_001A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_201B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_201B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_iPhone\IP_181C_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_041B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_081A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_101B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_041B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_081A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_101B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_101B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_081A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_041B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_101B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_081A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_041B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_041B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_081A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_101B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_101B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_081A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_041B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_101A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"23 Degrees, 150 Meters",\Forensics_Files\SpKing22_iPhone\IP_181D_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_081B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"60 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_161A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_041A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_041A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"60 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_161A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_081B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"23 Degrees, 150 Meters",\Forensics_Files\SpKing22_iPhone\IP_181D_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_101A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_101A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_081B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"60 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_161A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_041A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"23 Degrees, 150 Meters",\Forensics_Files\SpKing22_iPhone\IP_181D_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"23 Degrees, 150 Meters",\Forensics_Files\SpKing22_iPhone\IP_181D_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_101A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_081B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"60 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_161A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_041A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_041A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"60 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_161A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_081B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_101A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"23 Degrees, 150 Meters",\Forensics_Files\SpKing22_iPhone\IP_181D_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"23 Degrees, 150 Meters",\Forensics_Files\SpKing22_iPhone\IP_181D_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_041A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"60 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_161A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_081B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"180 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_101A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_141B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_061B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_001B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_141B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_061B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_001B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_001B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_061B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_141B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"40 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_201A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_001B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_061B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_141B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_141B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_061B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"40 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_201A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_001B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_001B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_061B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_141B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_001A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_061A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_181B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_Samsung\SA_141A_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_Samsung\SA_141A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_Samsung\SA_181C_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_181B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_061A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_201B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_001A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_201B_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_001A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_061A_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_181B_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_Samsung\SA_141A_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_Samsung\SA_181C_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_201B_S02.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"20 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_201B_S06.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"-30 Degrees, 20 Meters",\Forensics_Files\SpKing22_Samsung\SA_001A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 10 Meters",\Forensics_Files\SpKing22_Samsung\SA_121A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_061A_S03.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_181B_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"12 Degrees, 75 Meters",\Forensics_Files\SpKing22_Samsung\SA_181C_S01.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_Samsung\SA_141A_S04.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"30 Degrees, 9 Meters",\Forensics_Files\SpKing22_Samsung\SA_141A_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_Samsung\SA_181B_S05.wav,
Handgun,Pistol,0.22 LR,High Standard Sport King,Samsung,"130 Degrees, 40 Meters",\Forensics_Files\SpKing22_Samsung\SA_061A_S02.wav,
